SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	SchoolTypeCode	GradeSpan	TotalEnrollment	NumberAmericanIndianorAlaskanNative	PercentAmericanIndianorAlaskanNative	NumberAsian	PercentAsian	NumberPacificIslander	PercentPacificIslander	NumberAsianPacificIslander	PercentAsianPacificIslander	NumberBlack	PercentBlack	NumberHispanic	PercentHispanic	NumberWhite	PercentWhite	NumberTwoOrMoreRaces	PercentTwoOrMoreRaces	NumberMales	PercentMales	NumberFemales	PercentFemales	NumberMigrant	PercentMigrant	NumberTransitionalBilingual	PercentTransitionalBilingual	NumberSpecialEducation	PercentSpecialEducation	NumberFreeorReducedPricedMeals	PercentFreeorReducedPricedMeals	NumberSection504	PercentSection504	NumberFosterCare	PercentFosterCare	StudentsPerClassroomTeacher	AvgYearsEducationalExperience	NumberTeachersWithAtLeastMasterDegree	PercentTeachersWithAtLeastMasterDegree
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	2834	A J West Elementary	P	PK-6      	430	16	3.72	13	3.02	0	0.00	13	3.02	8	1.86	180	41.86	196	45.58	17	3.95	225	52.33	205	47.67	13	3.07	67	15.84	83	19.62	360	85.11	1	0.24	0	0.00	17	11.0	20	76.92
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	3093	Alexander Young Elementary	P	PK-6      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	3216	Central Park Elementary	P	K-6       	172	9	5.23	7	4.07	1	0.58	8	4.65	2	1.16	20	11.63	128	74.42	5	2.91	76	44.19	96	55.81	0	0.00	5	2.96	23	13.61	77	45.56	0	0.00	0	0.00	11	13.8	12	80.00
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	1837	Community Learning Op Ctr Cloc	P	9-12      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	3857	Harbor High School	P	9-12      	124	8	6.45	1	0.81	0	0.00	1	0.81	0	0.00	29	23.39	80	64.52	6	4.84	62	50.00	62	50.00	2	1.64	1	0.82	14	11.48	96	78.69	3	2.46	0	0.00	12	10.6	5	50.00
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	1775	Homelink	A	2-12      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	3154	Hopkins Elementary	P	PK-PK     	28	0	0.00	1	3.57	0	0.00	1	3.57	0	0.00	10	35.71	12	42.86	5	17.86	21	75.00	7	25.00	0	0.00	0	0.00	52	100.00	36	69.23	0	0.00	0	0.00	5	18.2	5	83.33
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	3476	J M Weatherwax High School	P	9-12      	926	35	3.78	41	4.43	8	0.86	49	5.29	7	0.76	209	22.57	604	65.23	22	2.38	484	52.27	442	47.73	25	2.88	31	3.57	98	11.29	464	53.46	17	1.96	0	0.00	18	11.5	25	48.08
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	2449	McDermoth Elementary	P	K-6       	362	22	6.08	9	2.49	0	0.00	9	2.49	5	1.38	97	26.80	215	59.39	14	3.87	186	51.38	176	48.62	22	5.85	52	13.83	50	13.30	233	61.97	1	0.27	0	0.00	16	9.5	13	59.09
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	2305	Miller Junior High	P	7-8       	477	27	5.66	11	2.31	4	0.84	15	3.14	10	2.10	123	25.79	292	61.22	10	2.10	249	52.20	228	47.80	25	5.38	34	7.31	68	14.62	323	69.46	7	1.51	0	0.00	15	12.3	19	61.29
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	2763	Robert Gray Elementary	P	PK-6      	273	12	4.40	4	1.47	2	0.73	6	2.20	5	1.83	78	28.57	159	58.24	13	4.76	128	46.89	145	53.11	11	4.09	28	10.41	40	14.87	205	76.21	1	0.37	0	0.00	13	11.7	16	76.19
