,School_ID,School District,School,Enrollment,LowSES
,1603,Spokane School District,Daybreak Alternative School,1,100
,1767,Spokane School District,The Healing Lodge,1,0
,1880,Clover Park School District,Re-Entry High School,1,73.33
,1881,Clover Park School District,Re-Entry Middle School,1,100
,1960,Mukilteo School District,ECEAP,1,100
,4178,Lopez School District,Decatur Elementary,1,0
,4225,Skills Centers,New Market Skills Center,1,0
,5062,Issaquah School District,Issaquah Head Start,1,100
,5113,Spokane School District,Spokane Regional Health District,1,0
,5280,Federal Way School District,Dynamic Family Services,1,0
,5283,Columbia (Stevens) School District,Columbia Alternative School,1,0
,5961,Skills Centers,Pierce County Skills Center,1,0
,1604,Spokane School District,Alternative Tamarack School,2,66.67
,1672,Raymond School District,Developmental Preschool,2,80
,1787,Cape Flattery School District,Cape Flattery Preschool,2,0
,1888,Juvenile Detention Centers,Mason County Detention Center,2,87.5
,1898,Republic School District,Republic Parent Partner,2,81.82
,2335,Tacoma School District,Madison Headstart,2,100
,4037,San Juan Island School District,Stuart Island Elementary,2,100
,4092,Juvenile Detention Centers,Juvenile Detention Center,2,31.25
,5140,Bethel School District,Spanaway Elementary ECEAP,2,100
,5235,Kennewick School District,Benton County Jail,2,83.33
,5243,South Bend School District,South Bend Home Link,2,50
,5300,Eatonville School District,Mt. Rainier Parent Partnership,2,0
,1945,Bethel School District,Elk Plain Head Start,3,100
,5087,Concrete School District,Special Services School,3,83.33
,5172,Highline School District,Puget Sound High School,3,53.57
,5263,Yakima School District,Adult Jail,3,0
,1757,Snohomish School District,Snohomish Online Learning,4,0
,3819,Spokane School District,Excelsior Youth Center School,4,87.5
,4105,Skills Centers,Wenatchee Valley Technical Skills Center,4,0
,5059,Juvenile Detention Centers,Island Juvenile Detention Education Program,4,0
,5157,Prescott School District,Prescott Special Ed Pre-school,4,75
,5184,Tacoma School District,Tacoma Pierce County Education Center,4,50
,5218,Federal Way School District,Federal Way Public School ECEAP,4,40
,5237,Reardan-Edwall School District,Reardan Online Academy,4,100
,5259,Olympia School District,Touchstone,4,33.33
,1559,Juvenile Detention Centers,Lewis County Juvenile Detention,5,58.82
,1605,Concrete School District,Twin Cedars High School,5,58.33
,1749,Bremerton School District,Bremerton Home Link Program,5,71.43
,2986,Institutions,Canyon View Group Home,5,0
,5189,Nooksack Valley School District,NV Connections,5,0
,5193,Montesano School District,Montesano Learning Academy,5,62.5
,1534,Renton School District,Griffin Home,6,40
,1802,Juvenile Detention Centers,Chelan County Juvenile Detention Center,6,25
,3396,Institutions,Woodinville Community Center,6,25
,5045,White River School District,White River Special Ed Services,6,35.29
,5086,Kittitas School District,Kittitas B-5 Special Ed Program,6,0
,1857,Mary Walker School District,Springdale Academy,7,100
,5012,Goldendale School District,Goldendale Support Service Center,7,0
,5081,Quilcene School District,Crossroads Community School,7,57.14
,5273,Moses Lake School District,Wenatchee Valley Technical Skill Center Branch Campus at Moses Lake,7,25
,5296,Snoqualmie Valley School District,Snoqualmie Parent Partnership Program,7,0
,1527,Renton School District,Sartori Education Center,8,37.5
,1663,Everett School District,NW Learning Center,8,57.14
,1895,Marysville School District,ECEAP,8,100
,3363,Juvenile Detention Centers,Skagit County Detention Center,8,100
,5187,Walla Walla Public Schools,HEAD START/ECEAP PRESCHOOL,8,72.22
,5244,Riverview School District,Choice,8,75
,5298,Clover Park School District,Oakridge Group Home,8,0
,1762,Concrete School District,Skagit River School House,9,14.29
,1797,Tacoma School District,Day Reporting School,9,50
,2007,Star School District,Star Elem School,9,0
,1566,Spokane School District,Alternative Northeast Community Center Preschool,10,75
,2513,Skykomish School District,Skykomish High School,10,87.5
,4283,Tacoma School District,Pearl Street Center,10,30.77
,5097,Ellensburg School District,K-12 Ellensburg Learning Center,10,37.5
,5110,Freeman School District,Freeman CVA School,10,50
,5261,North Franklin School District,North Franklin Virtual Academy,10,20
,5299,Lopez School District,CVA-Lopez Island,10,50
,1694,Bellingham School District,Home Port Learning Center,11,70.59
,1709,Chewelah School District,Chewelah Alternative,11,77.78
,1811,Everett School District,Pass Program,11,31.25
,1882,Clover Park School District,Special Education Services/relife,11,26.67
,1933,Clarkston School District,Elementary Alternative Center,11,0
,3142,Benge School District,Benge Elementary,11,0
,3861,Lake Chelan School District,Holden Village Community School,11,0
,5079,Eatonville School District,Eatonville Developmental Pre-School,11,3.13
,5096,West Valley School District (Yakima),Children's Village,11,11.76
,1850,Institutions,Camp Outlook,12,71.43
,3808,Orcas Island School District,Waldron Island School,12,8.33
,3981,Snohomish School District,High School Re Entry,12,37.14
,4229,Ephrata School District,Beezley Springs Elementary,12,17.65
,2265,Stehekin School District,Stehekin Elementary,13,0
,3213,Institutions,Parke Creek Treatment Ctr,13,0
