ESD Code	ESD Name	District-County Code	District name	School Code	School name	Lowest Grade	Highest Grade	AddressLine1	AddressLine2	City	State	ZipCode	Principal Name	phone	School Type
34801	Educational Service District 113	14005	Aberdeen School District	2834	A J West Elementary	PK	6	1801 Bay Ave.		Aberdeen	Washington	98520-5510	William O'Donnell	360.538.2131	Public School
34801	Educational Service District 113	14005	Aberdeen School District	3216	Central Park Elementary	K 	6	601 School Road		Aberdeen	Washington	98520-7999	Jim Sawin	360.538.2170	Public School
34801	Educational Service District 113	14005	Aberdeen School District	3857	Harbor High School	9	12	300 N. Williams		Aberdeen	Washington	98520-5510	Sherri Northington	360.538.2189	Public School
34801	Educational Service District 113	14005	Aberdeen School District	3154	Hopkins Elementary	PK	PK	1313 Pacific		Aberdeen	Washington	98520-5510	Sherri Northington	360.538.2190	Public School
34801	Educational Service District 113	14005	Aberdeen School District	3476	J M Weatherwax High School	9	12	410 North G Street		Aberdeen	Washington	98520	Rocky Rocquin	360.538.2044	Public School
34801	Educational Service District 113	14005	Aberdeen School District	2449	Mcdermoth Elementary	K 	6	409 North K St		Aberdeen	Washington	98520-3928	Marc Anderson	360.538.2120	Public School
34801	Educational Service District 113	14005	Aberdeen School District	2305	Miller Junior High	7	8	100 E Lindstrom		Aberdeen	Washington	98520-8699	Jean Prochaska	360.538.2100	Public School
34801	Educational Service District 113	14005	Aberdeen School District	2763	Robert Gray Elementary	PK	6	1516 North B St		Aberdeen	Washington	98520-2099	Noreen Sampson	360.538.2141	Public School
34801	Educational Service District 113	14005	Aberdeen School District	2971	Stevens Elementary School	PK	6	301 S. Farragut		Aberdeen	Washington	98520-8499	Kathleen Werner	360.538.2151	Public School
34801	Educational Service District 113	14005	Aberdeen School District	5208	Twin Harbors, A Branch of New Market Skills Center	9	12	410 North G Street		Aberdeen	Washington	98520	Rocky Rocquin	360-538-2044	Public School
34801	Educational Service District 113	21226	Adna School District	2227	Adna Elementary School	PK	5	P.O. Box 28		Adna	Washington	98522-0028	Lisa Dallas	360.748.7029	Public School
