SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	MathTotalTested	MathPercentMetStandard	MathPercentLevel1	MathPercentLevel2	MathPercentLevel3	MathPercentLevel4	MathPercentNotTested	MathPercentNotMet	MathPercentMet2003Standard	MathPercentWAAS	ReadingTotalTested	ReadingPercentMetStandard	ReadingPercentLevel1	ReadingPercentLevel2	ReadingPercentLevel3	ReadingPercentLevel4	ReadingPercentNotTested	ReadingPercentNotMet	ReadingPercentMet2003Standard	ReadingPercentWAAS	WritingTotalTested	WritingPercentMetStandard	WritingPercentNotTested	WritingPercentNotMet	WritingPercentWAAS	ListeningTotalTested	ListeningPercentMetStandard	ListeningPercentNotTested	ListeningPercentNotMet	ListeningPercentWAAS	ScienceTotalTested	SciencePercentMetStandard	SciencePercentLevel1	SciencePercentLevel2	SciencePercentLevel3	SciencePercentLevel4	SciencePercentNotTested	SciencePercentNotMet	SciencePercentWAAS	PercentMet3Standards	PercentMet2Standards	PercentMet1Standards	PercentMet0Standards	ReadingLevelIndex	MathLevelIndex	ScienceLevelIndex
2003-04	Educational Service District 101	01	Adams	01109	Washtucna	3075	Washtucna Elementary/High School	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2003-04	Educational Service District 101	01	Adams	01109	Washtucna	3075	Washtucna Elementary/High School	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2003-04	Educational Service District 101	01	Adams	01109	Washtucna	3075	Washtucna Elementary/High School	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2003-04	Educational Service District 101	01	Adams	01109	Washtucna	3075	Washtucna Elementary/High School	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2003-04	Educational Service District 101	01	Adams	01109	Washtucna	3075	Washtucna Elementary/High School	10	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	0	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2003-04	Educational Service District 101	01	Adams	01122	Benge	3142	Benge Elementary	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2003-04	Educational Service District 123	01	Adams	01147	Othello	2902	Lutacaga Elementary	4	88	25.8	49.4	23.6	19.1	6.7	1.1	74.2	23.6	4.3	89	44.9	14.6	40.4	33.7	11.2	0.0	55.1	41.6	4.3	87	34.4	3.3	65.6	4.3	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	22.2	10.0	17.8	50.0	2.42	1.81	NA
2003-04	Educational Service District 123	01	Adams	01147	Othello	2902	Lutacaga Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	94	4.3	66.0	29.8	4.3	0.0	0.0	95.7	0.0	NA	NA	NA	NA	NA	NA	1.38
2003-04	Educational Service District 123	01	Adams	01147	Othello	2961	Hiawatha Elementary	4	79	32.9	41.8	25.3	17.7	15.2	0.0	67.1	27.8	0.0	78	48.1	20.3	30.4	36.7	11.4	1.3	51.9	34.2	0.0	78	29.1	1.3	70.9	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	25.3	8.9	16.5	49.4	2.37	2.06	NA
2003-04	Educational Service District 123	01	Adams	01147	Othello	2961	Hiawatha Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	94	10.6	61.7	27.7	10.6	0.0	0.0	89.4	0.0	NA	NA	NA	NA	NA	NA	1.49
