City	State	District-County Code	ZipCode	Long	Lowest Grade	School Code	phone	District name	AddressLine2	AddressLine1	Lat	Principal Name	ESD Name	School Type	Highest Grade	School name	ESD Code
Aberdeen	Washington	14005	98520-5510	-123.8381899	PK	2834	360.538.2131	Aberdeen School District		1801 Bay Ave.	46.9718542	William O'Donnell	Educational Service District 113	Public School	6	A J West Elementary	34801
Aberdeen	Washington	14005	98520-7999	-123.697664	K 	3216	360.538.2170	Aberdeen School District		601 School Road	46.9675948	Jim Sawin	Educational Service District 113	Public School	6	Central Park Elementary	34801
Aberdeen	Washington	14005	98520-5510	-123.8316781	9	3857	360.538.2189	Aberdeen School District		300 N. Williams	46.9721927	Sherri Northington	Educational Service District 113	Public School	12	Harbor High School	34801
Aberdeen	Washington	14005	98520-5510	-93.4130311	PK	3154	360.538.2190	Aberdeen School District		1313 Pacific	44.9341667	Sherri Northington	Educational Service District 113	Public School	PK	Hopkins Elementary	34801
Aberdeen	Washington	14005	98520	-123.8180476	9	3476	360.538.2044	Aberdeen School District		410 North G Street	46.9797985	Rocky Rocquin	Educational Service District 113	Public School	12	J M Weatherwax High School	34801
Aberdeen	Washington	14005	98520-3928	-123.8234284	K 	2449	360.538.2120	Aberdeen School District		409 North K St	46.9771422	Marc Anderson	Educational Service District 113	Public School	6	Mcdermoth Elementary	34801
Aberdeen	Washington	14005	98520-8699	-123.7925097	7	2305	360.538.2100	Aberdeen School District		100 E Lindstrom	46.963627	Jean Prochaska	Educational Service District 113	Public School	8	Miller Junior High	34801
Aberdeen	Washington	14005	98520-2099	-123.812859	PK	2763	360.538.2141	Aberdeen School District		1516 North B St	46.986944	Noreen Sampson	Educational Service District 113	Public School	6	Robert Gray Elementary	34801
Aberdeen	Washington	14005	98520-8499	-123.789639	PK	2971	360.538.2151	Aberdeen School District		301 S. Farragut	46.966751	Kathleen Werner	Educational Service District 113	Public School	6	Stevens Elementary School	34801
Aberdeen	Washington	14005	98520	-123.8179103	9	5208	360-538-2044	Aberdeen School District		410 North G Street	46.9793814	Rocky Rocquin	Educational Service District 113	Public School	12	Twin Harbors, A Branch of New Market Skills Center	34801
Adna	Washington	21226	98522-0028	-123.0593419	PK	2227	360.748.7029	Adna School District		P.O. Box 28	46.6381482	Lisa Dallas	Educational Service District 113	Public School	5	Adna Elementary School	34801
Adna	Washington	21226	98522-0148	-123.0568689	6	2441	360.748.8552	Adna School District		P.O. Box 148	46.630074	Jim Forrest	Educational Service District 113	Public School	12	Adna Middle/High School	34801
ALMIRA	Washington	22017	99103-0217	-118.9408949	K 	2860	509.639.2414	Almira School District		PO BOX 217	47.7078193	Shauna Schmerer	Educational Service District 101	Public School	8	Almira Elementary School	32801
Anacortes	Washington	29103	98221-2396	-122.6226624	9	2467	360.293.2166	Anacortes School District		1600 20th Street	48.507486	Jon Ronngren	Northwest Educational Service District 189	Public School	12	Anacortes High School	29801
Anacortes	Washington	29103	98221-3799	-122.6176825	7	2707	360.293.9545	Anacortes School District		2202 M Avenue	48.5036297	Patrick Harrington	Northwest Educational Service District 189	Public School	8	Anacortes Middle School	29801
Anacortes	Washington	29103	98221	-122.6220184	9	5176	360.293.2166 x706	Anacortes School District		1600 20th Street	48.5080735	Jon Ronngren	Northwest Educational Service District 189	Public School	12	Cap Sante High School	29801
Anacortes	Washington	29103	98221-9699	-122.5826692	K 	3182	360.293.9545	Anacortes School District		13590 Gibralter Road	48.4464926	Tara Dowd	Northwest Educational Service District 189	Public School	6	Fidalgo Elementary	29801
Anacortes	Washington	29103	98221-2799	-122.6219915	K 	3252	360.293.3149	Anacortes School District		2501 J Avenue	48.5031211	Brian Hanrahan	Northwest Educational Service District 189	Public School	6	Island View Elementary	29801
Anacortes	Washington	29103	98221-3599	-122.6185491	K 	3057	360.293.9541	Anacortes School District		1313 41st Street	48.487347	Peter Donaldson	Northwest Educational Service District 189	Public School	6	Mount Erie Elementary	29801
Anacortes	Washington	29103	98221-0000	-122.6180033	PK	3404	360.293.9536	Anacortes School District		1200 M Avenue	48.5120789	Kevin Schwartz	Northwest Educational Service District 189	Public School	K 	Whitney Elementary	29801
Arlington	Washington	31016	98223-4015	-122.1154294	9	2523	360.618.6300	Arlington School District		18821 Crown Ridge Blvd	48.166511	Brian Beckley	Northwest Educational Service District 189	Public School	12	Arlington High School	29801
