BuildingNumber	GradeTested	ReadingMet	MathMet	WritingMet	ScienceMet
3075	3	NA	NA	NA	NA
3075	4	90	5	4	NA
3075	5	NA	NA	NA	NA
3075	6	NA	NA	NA	NA
3075	7	NA	NA	NA	NA
3075	8	NA	NA	NA	NA
3075	10	NA	NA	NA	NA
3142	3	NA	NA	NA	NA
3142	4	NA	NA	NA	NA
3142	5	NA	NA	NA	NA
3142	6	NA	NA	NA	NA
2902	3	47.2	37	NA	NA
2902	4	46.8	32	26	NA
2902	5	56	39	NA	37
2961	3	48.1	40	NA	NA
2961	4	52.1	46	35	NA
2961	5	31.1	31	NA	24
3015	4	NA	NA	NA	NA
3015	10	75.1	NA	213	NA
3471	6	56.9	134	NA	NA
3471	7	60.3	152	169	NA
3471	8	66.5	135	NA	166
3730	3	59.3	40	NA	NA
3730	4	75.3	38	29	NA
3730	5	68.1	47	NA	34
2903	8	NA	NA	NA	NA
2903	10	NA	NA	NA	NA
3421	3	80	11	NA	NA
3421	4	73.3	13	10	NA
3421	5	NA	NA	NA	NA
2132	10	89.3	NA	22	NA
2719	3	88.9	14	NA	NA
2719	4	66.7	10	11	NA
2719	5	63.6	18	NA	17
2719	6	48.1	7	NA	NA
2719	7	57.1	15	22	NA
2719	8	38.9	5	NA	10
1617	7	NA	NA	NA	NA
1617	10	46.2	NA	16	NA
2299	5	NA	NA	NA	NA
2299	8	NA	NA	NA	NA
2299	10	89	NA	151	NA
2501	7	71	110	141	NA
2501	8	76.1	132	NA	167
2823	3	63	22	NA	NA
2823	4	50	24	15	NA
2823	5	77.4	23	NA	26
2823	6	50	21	NA	NA
2962	3	71	20	NA	NA
2962	4	66.7	16	14	NA
2962	5	51.5	12	NA	19
2962	6	55.6	8	NA	NA
3266	3	63.3	23	NA	NA
3266	4	46	18	21	NA
3266	5	60.4	23	NA	28
3266	6	65.4	21	NA	NA
3616	4	NA	NA	NA	NA
3616	6	NA	NA	NA	NA
3616	8	NA	NA	NA	NA
4384	3	68.9	42	NA	NA
4384	4	79.2	33	42	NA
4384	5	85.5	44	NA	46
4384	6	86.3	37	NA	NA
2434	7	69.4	38	32	NA
2434	8	81.3	30	NA	40
2434	10	90	NA	37	NA
2507	3	85.4	41	NA	NA
2507	4	80	39	36	NA
2507	5	83	40	NA	39
2507	6	83.6	46	NA	NA
1884	6	NA	NA	NA	NA
1884	7	NA	NA	NA	NA
1884	8	NA	NA	NA	NA
1884	10	55.9	NA	16	NA
2824	3	64.4	40	NA	NA
2824	4	57.1	32	42	NA
2824	5	54.2	37	NA	40
2825	3	41	22	NA	NA
2825	4	56	33	36	NA
2825	5	51.3	19	NA	26
2826	10	81.1	NA	284	NA
3077	3	65.2	35	NA	NA
3077	4	69.7	29	49	NA
3077	5	61.6	31	NA	40
3144	3	77.4	62	NA	NA
3144	4	81.8	60	66	NA
3144	5	77.9	52	NA	62
3267	6	46.1	84	NA	NA
3267	7	53.8	103	153	NA
3267	8	44.4	92	NA	145
3315	3	50.6	21	NA	NA
3315	4	40.8	22	45	NA
3315	5	50	15	NA	28
3369	3	56.8	39	NA	NA
3369	4	69.2	54	76	NA
3369	5	71.6	57	NA	60
3472	6	57.2	107	NA	NA
3472	7	51.5	150	154	NA
3472	8	48.6	111	NA	108
3731	10	89.5	NA	324	NA
4028	6	77.7	184	NA	NA
4028	7	79.9	221	282	NA
4028	8	75.7	175	NA	245
4072	3	77.8	50	NA	NA
4072	4	77	25	37	NA
4072	5	76.5	49	NA	54
4073	3	85.1	69	NA	NA
4073	4	86.9	62	69	NA
4073	5	87.6	65	NA	72
4136	3	71.8	48	NA	NA
4136	4	89.5	47	77	NA
4136	5	87.3	50	NA	63
4181	3	86.6	74	NA	NA
4181	4	87.9	59	67	NA
4181	5	76.1	58	NA	72
4202	3	76.7	61	NA	NA
4202	4	80.2	56	55	NA
4202	5	84.3	63	NA	80
4418	3	40.4	21	NA	NA
4418	4	36.4	23	28	NA
4418	5	45.5	18	NA	25
4429	6	70.4	117	NA	NA
4429	7	67.3	200	245	NA
4429	8	66.7	147	NA	207
4446	3	92.5	64	NA	NA
4446	4	88	67	72	NA
4446	5	86.6	55	NA	87
4484	10	83.2	NA	326	NA
2133	3	71.4	7	NA	NA
2133	4	NA	NA	NA	NA
2133	5	NA	NA	NA	NA
2133	6	82.4	13	NA	NA
2133	7	NA	NA	NA	NA
2133	8	75	7	NA	6
2759	3	55.1	31	NA	NA
2904	10	73.8	NA	84	NA
3961	6	48.5	32	NA	NA
3961	7	45.8	63	45	NA
3961	8	54.6	42	NA	70
