BuildingNumber	GradeTested	ReadingPercentMet	MathPercentMet	WritingPercentMet	SciencePercentMet
3075	3	81.8	90.9		
3075	4				
3075	5				
3075	6				
3075	7				
3075	8				
3075	10				
3142	3				
3142	4				
3142	5				
2902	3	40.2	45.4		
2902	4	47.5	52.5	41.6	
2902	5	58.9	64.4		62.2
2961	3	34.4	36.5		
2961	4	46.5	42.4	40.4	
2961	5	54.2	55.2		43.2
3015	3				
3015	10	76.2		85.1	
3471	6	53.5	52.3		
3471	7	64.5	62.1	80.8	
3471	8	56.6	60.3		57.3
3730	3	57.6	57.6		
3730	4	69.9	68	44.7	
3730	5	70.1	62.9		50.5
2903	7	57.1	28.6	57.1	
2903	8	68.8	25		62.5
2903	10	76.5		93.8	
3421	3	78.6	85.7		
3421	4	54.5		63.6	
3421	5	76.5	47.1		41.2
3421	6	60	66.7		
2132	10	95.2		100	
2719	3	73.7	57.9		
2719	4	66.7	46.7	63.3	
2719	5	68.2	81.8		63.6
2719	6	70	46.7		
2719	7	60	35	50	
2719	8	58.3	48		62.5
1617	7				
1617	8				
1617	10	41.4		40	
2299	7				
2299	8				
2299	10	86.8		88.5	
2501	7	80.1	69.7	72.9	
2501	8	76.5	61.7		67.3
2823	3	89.8	83.7		
2823	4	70.6	66.7	43.1	
2823	5	54.2	37.5		54.2
2823	6	56.4	47.3		
2962	3	71.9	75		
2962	4	56.7	53.3	36.7	
2962	5	50	30		60
2962	6	56	56		
3266	3	54.9	41.2		
3266	4	57.4	53.2	55.3	
3266	5	72	66		68
3266	6	56.9	49		
3616	3				
3616	5				
3616	6				
3616	7				
4384	3	57.4	63.8		
4384	4	83	66	47.2	
4384	5	86.3	66.7		98
4384	6	81	74.1		
2434	7	78.7	70.2	87.2	
2434	8	73.3	48.9		80
2434	10	89.7		97.4	
2507	3	76.8	64.3		
2507	4	81	76.2	71.4	
2507	5	73.6	81.1		77.4
2507	6	87	76.1		
1884	7				
1884	8	45.5	0		
1884	10	66.7		77.4	
2824	3	60.8	45.6		
2824	4	61.7	34.6	44.4	
2824	5	44.4	25		40.3
2825	3	58	40		
2825	4	56.9	33.8	41.5	
2825	5	57.1	28.6		32.5
2826	10	70.3		76.1	
3077	3	75.6	46.2		
3077	4	71.8	42.3	62.8	
3077	5	67.1	48.7		71.1
3144	3	84.4	78.9		
3144	4	79.3	62.2	82.7	
3144	5	61.2	50.6		70.6
3267	6	61.6	32.7		
3267	7	56.6	36.7	56.3	
3267	8	57.8	42.9		57.3
3315	3	41.9	29.1		
3315	4	48.5	23.2	49.3	
3315	5	34.1	31.8		40.2
3369	3	59.7	51.4		
3369	4	59.1	41.8	60	
3369	5	45.3	37.3		40
3472	6	55.6	35.9		
3472	7	49.7	44.4	59.7	
3472	8	54.5	39.1		13.8
3731	10	86.7		87	
4028	6	80.2	63.2		
4028	7	87.9	66.9	90.2	
4028	8	81.1	57		76.7
4072	3	87.3	66.2		
4072	4	67.5	49.4	65.1	
4072	5	71.6	45.1		65.9
4073	3	74.7	55.4		
4073	4	84.9	67.4	86	
4073	5	81.3	72.9		84.1
4136	3	72.8	55.6		
4136	4	90.1	76.1	85.9	
4136	5	80.4	60.7		80.4
4181	3	80	69.7		
4181	4	90	64.2	67.5	
4181	5	78.5	49.4		83.5
4202	3	80	75.3		
4202	4	89.7	69.8	76.1	
4202	5	80.4	67.4		80.4
4418	3	32.9	32.1		
4418	4	42	18.4	15.1	
4418	5	41.8	35.9		27.2
4429	6	67.5	48.4		
4429	7	78.5	59.7	85.5	
4429	8	73.3	50.2		70.9
4446	3	81.6	82.5		
4446	4	87.6	78.1	89.8	
4446	5	88.8	76.6		86
4484	10	86.4		91.4	
2133	3				
2133	4				
2133	5	78.6	57.1		64.3
2133	6	54.5	54.5		
2133	7	38.5	46.2	46.2	
2133	8	66.7	75		75
2759	3	40	30.5		
2904	10	77.6		75.5	
3961	6	50.4	33.1		
3961	7	65.9	55.3	51.2	
3961	8	54	34.9		45.2
2367	10	71.2		81.2	
3078	3	53.4	43.1		
3078	4	50.7	37.3	42.7	
3078	5	42.6	39.7		43.9
4031	6	51.2	38.4		
4031	7	66.3	33.8	48.1	
4031	8	39	39		29.9
2508	10	77.1		84.3	
2905	3	72.9	75		
2905	4	75	51.9	51.9	
2905	5	72	74		70
2906	6	68.5	50.7		
2906	7	65.1	54.9	55.1	
2906	8	66.8	63.9		59.8
3316	3	77.2	67.1		
3316	4	75.1	48.8	56.8	
3316	5	83.4	65.6		72.6
2642	3	49.3	41.8		
2642	4	62.9	44.3	49.3	
2642	5	73.2	59.8		70.7
2656	3	49.3	52.2		
2656	4	62.3	60.9	53.6	
2656	5	74.6	55.9		54.2
2657	3	80.6	68.9		
2657	4	84.2	80.3	86.8	
2657	5	86.3	88.8		87.5
2721	6	77.4	67.8		
2721	7	75.8	58.3	68.1	
2721	8	70	57.7		70.3
2785	6	68.7	47.8		
2785	7	75.1	43.3	59.6	
2785	8	66.1	49.8		63.5
2786	3	74	75		
2786	4	79.1	76.9	62.6	
2786	5	74.3	58.6		65.3
3511	10	82.1		82.1	
3732	3	91.7	79.2		
3732	4	80	60	43.4	
3732	5	76.5	86.4		75.3
3833	10	91.9		90.9	
3926	6	73.6	68.4		
3926	7	81.9	77.1	78	
3926	8	74.5	70.4		75.8
4059	3	71.3	70.2		
4059	4	75.5	66	66	
4059	5	73.6	82.4		90.1
4060	3	87.9	90.5		
4060	4	79.2	70.3	69.3	
4060	5	76.3	63.3		74.1
4295	8				
4295	10	46.5		46.3	
4543	3	80.7	78.4		
4543	4	72	67.7	63.4	
4543	5	74.4	75.6		80
2196	3	52.8	55.8		
2196	4	45.1	37.3	21.6	
2196	5	64.4	28.9		38.6
2196	6	45	41		
2196	7				
2623	7	54.8	43.5	53.2	
2623	8	46.5	32.6		46.5
2623	10	59		89.7	
2265	3				
2265	4				
2265	5				
2265	6				
2265	7				
2265	8				
2688	3	62.5	58.3		
2688	4	52.9	47.1	52.9	
2688	5	76	68		64
3317	6	64.3	35.7		
3317	7	57.7	53.8	60	
3317	8	91.3	69.6		69.6
3317	10	90.3		83.9	
2317	6	58	43		
2317	7	69.4	57.6	46.3	
2317	8	72.2	43.5		54.6
2689	3	72.9	69.2		
2689	4	73.6	59.3	68.1	
2689	5	70.8	64.2		64.2
2689	7				
3861	3				
3861	4				
3861	5				
3861	6				
3861	7				
3861	8				
4260	10	85.7		91.3	
2315	5	79.1	67.3		60
2315	6	65.1	57.8		
2315	7	82.2	66.9	78	
2315	8	71	62.6		62.6
2787	3	72.1	77		
2787	4	77.5	58.6	56.8	
3268	10	78.1		82.9	
2827	3	74.7	66.3		
2827	4	80.2	67.3	82.2	
2827	5	77.8	67.8		84.3
3564	10	90.2		79	
4403	6	91.5	79.8		
4403	7	91.1	77.5	96.6	
4403	8	86.5	81.1		83.8
1612	10				
1613	8				
1613	10	72.7		89.5	
1742	3	50	30		
1742	4	72.2	22.2	27.8	
1742	5	74.1	58.6		59.3
1742	6	62.5	47.1		
1742	7	37.5	18.8	31.3	
1742	8	46.7	26.7		53.3
1742	10				
2134	10	78.5		77.7	
2279	3	54.8	48.4		
2279	4	64.4	37	32.9	
2279	5	76.2	58.7		60.3
2301	3	43.3	45		
2301	4	61	25.4	33.9	
2301	5	62.7	42.4		62.7
2347	3	48.9	40		
2347	4	45.7	40.4	31.9	
2347	5	55.7	39.1		57.4
2907	3	81.1	80		
2907	4	83.5	58.2	69.2	
2907	5	68.4	74.2		79.4
3208	3	78.8	71.2		
3208	4	86.8	81.1	79.2	
3208	5	92	80		86
3209	3	43.7	59.7		
3209	4	43.2	32.1	32.1	
3209	5	54.3	30.1		46.8
3210	6	67	46.1		
3210	7	73.7	53.7	59.4	
3210	8	69.3	55		66.5
3269	6				
3269	7				
3269	8				
3269	10				
3370	6	54.2	48.1		
3370	7	72.1	55.8	57.5	
3370	8	57.2	42.1		62.8
4423	3	69.6	60.9		
4423	4	58.2	37.4	44.4	
4423	5	66.3	58.7		60.9
4432	6	63.7	49.3		
4432	7	70.5	57.5	74	
4432	8	78.2	69.8		82.1
1715	4				
1715	7				
1715	8				
2368	3	86.5	62.2		
2368	4	76.9	69.2	50	
2368	5	88.2	70		92.2
2368	6	89.7	75		
2908	10	86.6		89.4	
2909	3	79.3	56.9		
2909	4	90.4	69.2	67.3	
2909	5	71.2	58.3		83.3
2909	6	80.4	66.1		
3079	3	84.3	78.4		
3079	4	85.1	66	74.5	
3079	5	79.5	59.1		72.7
3079	6	85.4	70.8		
3318	7	77	71	82.4	
3318	8	76.7	69.5		86.9
4003	10	47.4		61.9	
4494	3	88.7	75.5		
4494	4	81.7	65	66.7	
4494	5	78.4	62		71.4
4494	6	81.3	75		
3473	3	61.5	46.2		
3473	4	70	60	65	
3473	5	38.5	30.8		46.2
3473	6	73.3	60		
3473	7	59.3	22.2	33.3	
3473	8	56.3	18.8		50
3473	10	90		95	
1708	3				
1708	4				
1708	5				
1708	6				
1708	7	84.6	53.8	46.2	
1708	8	42.9	14.3		42.9
1708	10				
2471	8				
2471	10	81.2		81	
2722	3	78.5	68.5		
2722	4	78.4	64.4	75.5	
2722	5	83.2	76.2		80.2
2722	7				
4378	3	73.5	74.5		
4378	4	76.5	69.1	55.6	
4378	5	82.8	57.8		83.6
4519	6	68.4	50.3		
4519	7	76.6	55	66.2	
4519	8	70.7	61.3		76.8
3145	6	52.2	21.7		
3145	7	48.1	37	66.7	
3145	8	54.2	25		45.8
3145	10	72.2		94.4	
3422	3				
3422	4	70	60	70	
3422	5				
3422	6				
3422	7	73.3	53.3	53.3	
3422	8				
3422	10	75		91.7	
1500	10				
1671	3				
1671	4				
1671	5				
1671	6				
1671	8				
1671	10				
2349	10	68.6		74.4	
2609	6	55.4	48.6		
2609	7	55.1	40.8	56.8	
2609	8	63.1	53.8		69.2
3737	3	56.2	57.5		
3737	4	65.8	51.4	47.2	
3737	5	71.8	65.5		66.3
4174	3				
4174	4				
4174	5				
4174	6				
4174	7				
4174	8				
4174	10				
1574	3				
1574	4				
1574	5				
1574	6				
1574	7		0		
1574	8				
1574	10				
1689	6	94.5	89		
1689	7	92.5	87.1	94.6	
1689	8	87.8	76.7		87.6
1689	10	97.4		100	
2179	10	69.2		80.1	
2318	3	74.2	80.6		
2318	4	51.5	38.2	47.8	
2318	5	65.6	60.9		56.3
2610	3	75	63.9		
2610	4	64.9	40.5	43.2	
2610	5	75	50		55
2637	3	44.1	38.2		
2637	4	60	42.9	26.5	
2637	5	37.1	28.6		34.3
2643	3	61.3	75.7		
2643	4	57.1	31.4	31.4	
2643	5	57.6	39.4		36.4
2644	3	42.2	42.2		
2644	4	63.4	53.5	69	
2644	5	55.6	58		46.9
2690	3	44.1	55.9		
2690	4	57.9	59.2	45.3	
2690	5	62.7	45.3		42.7
2723	3	52.4	56.1		
2723	4	59.5	52.4	48.2	
2723	5	61.2	50.6		51.8
2828	3	64.2	65.9		
2828	4	60.2	44.7	55.3	
2828	5	67.2	62.3		59.8
2828	6				
2964	3	76.9	83.3		
2964	4	74.4	67.4	67.4	
2964	5	78.6	77.4		79.8
3016	3	61.5	65.9		
3016	4	63.8	51.4	48.6	
3016	5	62.1	58.6		51.3
3017	3	59.3	74.6		
3017	4	73.1	62.7	64.2	
3017	5	68.8	73.4		65.6
3080	3	71.4	66.7		
3080	4	57.5	40	40	
3080	5	84.4	71.9		71.9
3081	7				
3081	8				
3081	10	75.8		80.2	
3146	6	59.1	40.1		
3146	7	51.6	39.4	52.1	
3146	8	49.8	48.7		45.8
3423	10	91.1		91.5	
3424	3	56	70		
3424	4	58.7	50.8	41.3	
3424	5	54.4	44.3		38
3543	6	69.6	45.2		
3543	7	62.7	45.4	48.4	
3543	8	68	50		65.3
3565	3	46.3	37		
3565	4	48.6	36.1	41.4	
3565	5	41.9	41		36.7
3733	3	74.4	78.9		
3733	4	85.6	73.2	69.8	
3733	5	85.9	82.4		81.2
3734	3	58.4	64.9		
3734	4	52.7	50	32.4	
3734	5	53.4	44.8		41.4
3735	3	64.1	68		
3735	4	55.4	37.6	44.6	
3735	5	61.5	61.5		53.1
3799	4				
3799	5				
3799	6				
3799	7				
3799	8				
3799	10				
3902	6	62.9	41.6		
3902	7	49.7	33.4	52.5	
3902	8	44.1	28.7		50.9
3932	10	43.3		45.8	
4034	3	76.2	61.9		
4034	4	50.9	43.9	61.4	
4034	5	62.1	53		59.1
4075	3	85.1	91.7		
4075	4	81.3	68.2	67.3	
4075	5	76.1	82.1		77.8
4246	3				
4246	5				
4246	6				
4246	7				
4246	8				
4246	10				
4405	3	87	88.6		
4405	4	77.5	65.8	64.9	
4405	5	78.5	83.7		75.6
4406	6	78.8	70.8		
4406	7	87.8	72.9	85.9	
4406	8	70.4	74		67.3
4410	3	56.3	60.7		
4410	4	50.5	55.9	48.4	
4410	5	62.5	54.8		51.9
4503	6	52.3	50.9		
4503	7	62.4	48.7	62	
4503	8	68.4	52.4		55.8
4504	8				
4504	10	89.5		87.5	
3319	6	84.2	66.8		
3319	7	82.1	62.7	76.1	
3319	8	72.5	59.6		73
3617	3	76.2	82		
3617	4	82.4	69.6	80.4	
3617	5	84.4	87.5		86.7
2558	3	61.1	43.5		
2558	4	88	58.1	67.2	
2558	5	67.6	48.9		64
3371	6	69.4	62.7		
3371	7	69.6	51.2	69.1	
3371	8	81.7	50		77.8
4431	10	91.7		91.7	
2484	3	66.7	76.2		
2484	4	50	64.3	42.9	
2484	5	68.4	68.4		68.4
2484	6	53.3	46.7		
2484	7	69.2	69.2	76.9	
2484	8				
1528	10	58.8		75	
2509	3	65.5	58.2		
2509	4	54	39.7	44.4	
2509	5	51.4	47.1		65.7
2911	3	70.6	64.5		
2911	4	78.7	70.2	59.6	
2911	5	77	71.3		79.3
3147	10	84.1		84.5	
3270	3	78.7	80.3		
3270	4	78.7	66.7	61.3	
3270	5	65.7	55.2		64.2
4207	6	70.9	55		
4207	7	83.1	55.6	83	
4207	8	62.2	42.6		60.5
4549	6	64	38.7		
