BuildingNumber	GradeTested	ReadingPercent	MathPercentMet	WritingPercentMet	SciencePercentMet
3075	3				
3075	4				
3075	5				
3075	6				
3075	7				
3075	8				
3075	10				
3142	5				
2902	3	53.1	56.7		
2902	4	43.7	42.5	35.6	
2902	5	43.3	36.7		13.3
2961	3	38.1	35.1		
2961	4	36.6	31.2	44.1	
2961	5	35.4	32.3		16.7
2961	6	35.3	24.7		
3015	3				
3015	10	74.4	27.8	87.4	25.8
3471	6	42.1	30.8		
3471	7	52.3	56.7	64.1	
3471	8	66.4	53.7		36.1
3730	3	57.7	68		
3730	4	50	43.6	50	
3730	5	58.8	58.8		40.2
3730	6	53	51.8		
2903	7	47.1	35.3	35.3	
2903	8	71.4	23.8		38.1
2903	10	76	53.8	80	26.9
3421	3	84.2	57.9		
3421	4	61.5	38.5	69.2	
3421	5	50	50		16.7
3421	6	42.1	42.1		
2132	10	96.2	57.7	80.8	42.3
2719	3	78.9	78.9		
2719	4	76.9	46.2	65.4	
2719	5	65	50		25
2719	6	57.7	69.2		
2719	7	58.6	69	79.3	
2719	8	72.7	72.7		68.2
1617	8				
1617	10	53.1	5.7	61.3	2.9
2299	7				
2299	8				
2299	10	86.3	40.9	90.8	48
2501	7	53.1	50.3	80.4	
2501	8	69	68.5		63.6
2501	10				
2823	3	64.6	41.7		
2823	4	49.1	30.9	41.8	
2823	5	44.4	17.8		8.9
2823	6	54.9	31.4		
2962	3	67.9	64.3		
2962	4	60	73.3	60	
2962	5	65.5	44.8		24.1
2962	6	53.3	40		
3266	3	61.4	31.8		
3266	4	48.1	26.9	36.5	
3266	5	78	50		48
3266	6	48	42		
3616	3				
3616	4				
3616	5				
3616	6				
3616	7				
3616	8				
3616	10				
4384	3	82.7	55.8		
4384	4	72.6	43.5	60.7	
4384	5	74.6	60.3		47.6
4384	6	61.5	38.5		
2434	7	59.1	63.6	77.3	
2434	8	67.4	41.9		58.1
2434	10	93.5	53.2	93.3	66.7
2507	3	79.2	64.6		
2507	4	55.1	38.8	53.1	
2507	5	70.5	68.2		47.7
2507	6	72.7	60		
1884	7				
1884	8	30	0		10
1884	10	66.7	5.6	71.9	8.8
2824	3	63.1	45.2		
2824	4	56.5	29.4	67.9	
2824	5	59.5	24.1		16.5
2825	3	70.4	44.4		
2825	4	47.1	15.7	49.3	
2825	5	51.2	30.2		17.4
2826	10	71.9	33.4	83.6	27.5
3077	3	61	38.1		
3077	4	65.8	33.3	66.7	
3077	5	63.3	38.3		18.3
3144	3	83.3	70.2		
3144	4	71.3	64	78.2	
3144	5	70.3	55.4		55.4
3267	6	46.4	36.7		
3267	7	50	47.5	67.7	
